stock name,price,board,volume,date,time,Period End 1,Revenue 1,P&L 1,EPS 1,Period End 2,Revenue 2,P&L 2,EPS 2,Period End 3,Revenue 3,P&L 3,EPS 3,Period End 4,Revenue 4,P&L 4,EPS 4,Financial Date,Sales,Ebitda,Ebit,Net Profit,Intangibles,Fixed Asset,Long Term Investment,Inventories,Cash,Current Liabilites,Long_debt,Provisions,Minorities,Total Shareholder Equity,Operating Margin,Return on Equity Capital,Net Profit Margin,Current Ratio,Debt to Capital at book 
KYM HOLDINGS BHD,0.340,Main,1,06 Mar 2019,7:11 PM,31 Oct 2018,"23,847","-1,905",-1.27,31 Jul 2018,"26,214",227,0.15,30 Apr 2018,"23,717",-169,-0.11,31 Jan 2018,"20,368",-421,-0.28,31 Jan 2018,"91,384",-,-,-880,"4,667","69,554",1,"24,014","2,658","48,221","1,096",0,0,"91,015",0.47,-,-0.96,1.02,-
LANDMARKS BHD,0.480,Main,402,06 Mar 2019,7:11 PM,31 Dec 2018,"28,106","-19,711",-3.73,30 Sep 2018,"26,653","-7,435",-1.41,30 Jun 2018,"23,738","-6,953",-1.31,31 Dec 2017,"27,671","-14,382",-2.72,31 Dec 2017,"103,812",-,-,"-29,826","778,772","1,321,246","2,085","105,190","33,527","54,649","68,959",0,0,"1,740,463",-20.32,-,-28.73,4.13,-
LAND & GENERAL BHD,0.155,Main,"13,838",06 Mar 2019,7:11 PM,31 Dec 2018,"38,675","13,719",0.37,30 Sep 2018,"26,149","-1,155",-0.05,30 Jun 2018,"22,076","2,509",0.06,31 Mar 2018,"20,899","22,085",0.71,31 Mar 2018,"98,018",-,-,"74,250",59,"82,621","24,005","270,530","373,607","108,273","169,842","41,611",0,"1,126,496",92.22,-,75.75,6.61,-
LBI CAPITAL BHD,0.815,Main,"1,170",06 Mar 2019,7:11 PM,31 Dec 2018,"5,007",338,0.44,30 Sep 2018,"7,358","2,852",3.69,30 Jun 2018,"2,512",983,1.30,31 Mar 2018,"1,080",-935,-1.20,31 Dec 2017,"15,128",-,-,"4,623",0,464,0,"48,181","26,447","17,410","6,463",0,0,"135,491",34.09,-,30.56,6,-
KUCHAI DEVELOPMENT BHD,1.610,Main,"1,173",06 Mar 2019,7:11 PM,31 Dec 2018,372,"-1,848",-1.49,30 Sep 2018,"1,228",-96,-0.08,30 Jun 2018,"5,843","-3,518",-2.84,31 Mar 2018,309,"21,572",17.43,30 Jun 2018,"7,784",-,-,"51,828",0,7,"452,348",0,"67,607",999,0,0,0,"548,082",666.97,-,665.83,68,-
LEE SWEE KIAT GROUP BHD,0.950,Main,"3,091",06 Mar 2019,7:11 PM,31 Dec 2018,"25,892","3,347",2.05,30 Sep 2018,"27,803","2,831",1.74,30 Jun 2018,"23,004","2,016",1.24,31 Mar 2018,"23,332","2,061",1.26,31 Dec 2017,"74,930",-,-,"6,033","4,608","35,227",0,"10,104","16,654","21,740","5,447",0,0,"45,465",9.52,-,8.05,1.64,-
LOTTE CHEMICAL TITAN HOLDING BERHAD,4.340,Main,"3,075",06 Mar 2019,7:11 PM,31 Dec 2018,"2,336,972","11,231",0.45,30 Sep 2018,"2,417,941","217,094",9.54,30 Jun 2018,"2,275,537","315,652",13.86,31 Mar 2018,"2,214,259","244,269",10.74,31 Dec 2017,"7,824,267","1,490,520","1,055,716","1,064,235",0,"5,339,448","2,106,593","1,153,472","3,625,474","861,257",0,"410,845",0,"11,558,383",14.77,10.9,13.6,6.68,0
LEON FUAT BERHAD,0.485,Main,570,06 Mar 2019,7:11 PM,31 Dec 2018,"155,152","2,478",0.81,30 Sep 2018,"155,241","8,585",2.77,30 Jun 2018,"144,485","8,432",2.73,31 Mar 2018,"143,047","6,470",2.11,31 Dec 2017,"577,357",-,-,"80,319",0,"142,812","1,061","243,789","62,687","277,554","12,900",0,0,"334,199",18.31,-,13.91,1.75,-
LEWEKO RESOURCES BHD,0.150,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"9,458",177,-0.10,30 Sep 2018,"9,118",-708,-0.35,30 Jun 2018,"4,464",-589,-0.06,31 Mar 2018,"5,231","-1,507",-0.51,30 Jun 2018,"21,291",-,-,"-3,712","4,430","13,778","21,409","13,644","2,892","37,953","2,666",0,0,"87,453",-4.75,-,-17.43,2.03,-
LAY HONG BHD,0.440,Main,"68,716",06 Mar 2019,7:11 PM,31 Dec 2018,"203,323","3,725",0.57,30 Sep 2018,"187,030","-13,861",-1.70,30 Jun 2018,"199,253","2,273",0.36,31 Mar 2018,"224,623","10,968",1.76,31 Mar 2018,"847,802",-,-,"36,689","4,326","442,031","13,368","91,671","10,227","311,454","68,557",0,0,"356,905",7.35,-,4.33,1.03,-
LAMBO GROUP BERHAD,0.145,Ace,"43,279",06 Mar 2019,7:11 PM,31 Dec 2018,"24,608","3,780",0.20,30 Sep 2018,"24,730","4,479",0.25,30 Jun 2018,"21,129","4,287",0.26,31 Mar 2018,"22,009","4,217",0.35,31 Dec 2017,"84,725",-,-,"19,176",15,58,"31,150",0,"66,696","2,609",0,0,0,"100,981",30.22,-,22.63,27.74,-
LII HEN INDUSTRIES BHD,2.670,Main,"2,609",06 Mar 2019,7:11 PM,31 Dec 2018,"216,815","21,606",11.94,30 Sep 2018,"200,233","15,830",8.48,30 Jun 2018,"190,406","13,095",7.16,31 Mar 2018,"193,764","8,134",4.52,31 Dec 2017,"717,535",-,-,"71,548",506,"154,385",0,"88,200","92,213","115,955","3,836",0,0,"288,061",13.09,-,9.97,2.31,-
LBS BINA GROUP BHD,0.680,Main,"3,906",06 Mar 2019,7:11 PM,31 Dec 2018,"166,828","16,902",0.73,30 Sep 2018,"410,262","27,697",1.75,30 Jun 2018,"304,751","24,077",1.62,31 Mar 2018,"240,117","26,060",2.26,31 Dec 2017,"1,362,286",-,-,"103,362","114,612","273,614","85,378","732,611","133,541","1,526,222","511,291",0,0,"1,373,902",16.06,-,7.59,1.36,-
LION FOREST INDUSTRIES BHD,0.440,Main,100,06 Mar 2019,7:11 PM,31 Dec 2018,"115,810",941,0.41,30 Sep 2018,"104,128","2,770",1.22,30 Jun 2018,"80,249",948,0.42,31 Mar 2018,"87,691","1,176",0.52,30 Jun 2018,"380,474",-,-,"19,228",0,"18,877","78,516","18,482","108,194","88,781",0,0,0,"547,816",6.13,-,5.05,4.82,-
LEBTECH BERHAD,0.860,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"8,434",-699,-0.51,30 Sep 2018,"9,185",198,0.00,30 Jun 2018,"9,205",619,0.00,31 Mar 2018,"7,001",-11,-0.01,31 Dec 2017,"27,407",-,-,334,"11,804","2,690",0,0,153,"59,736",0,0,0,"129,780",3.65,-,1.22,2.87,-
LION INDUSTRIES CORPORATION,0.520,Main,"50,486",06 Mar 2019,7:11 PM,31 Dec 2018,"798,118","-43,174",-6.38,30 Sep 2018,"926,307","19,105",2.79,30 Jun 2018,"851,501","27,647",4.17,31 Mar 2018,"919,557","62,103",8.91,30 Jun 2018,"3,294,795",-,-,"172,629","130,443","539,181","836,525","635,709","319,395","1,001,030",0,0,0,"2,020,318",5.84,-,5.24,1.33,-
LB ALUMINIUM BHD,0.485,Main,360,06 Mar 2019,7:11 PM,31 Oct 2018,"143,288","2,786",1.14,31 Jul 2018,"135,654","2,670",1.07,30 Apr 2018,"121,914",-392,-0.16,31 Jan 2018,"136,516","1,219",0.49,30 Apr 2018,"509,790",-,-,"6,097",0,"223,113","1,103","109,618","37,296","181,903","5,000",0,0,"293,921",2.36,-,1.2,1.53,-
LIEN HOE CORPORATION BHD,0.280,Main,"2,280",06 Mar 2019,7:11 PM,31 Dec 2018,"7,626","-8,851",-2.60,30 Sep 2018,"7,233","-11,872",-3.48,30 Jun 2018,"8,535","-7,003",-2.05,31 Mar 2018,"10,294","-7,812",-2.28,31 Dec 2017,"73,110",-,-,"-2,417","28,337","555,681","1,000","10,231","67,414","124,019","35,772",0,0,"519,712",7.25,-,-3.31,1.45,-
LONDON BISCUITS BHD,0.415,Main,"63,423",06 Mar 2019,7:11 PM,31 Dec 2018,"109,014","5,953",2.44,30 Sep 2018,"98,134","6,655",3.43,30 Jun 2018,"91,151","2,389",1.28,31 Mar 2018,"69,457","2,000",1.07,30 Sep 2017,"426,021","57,297","37,880","15,171","4,204","406,658","29,870","16,046","67,824","210,960","102,027",0,0,"403,054",10.16,3.29,3.56,1.44,0.39
LINGKARAN TRANS KOTA HOLDINGS,4.330,Main,"1,405",06 Mar 2019,7:11 PM,31 Dec 2018,"131,094","61,180",11.59,30 Sep 2018,"132,273","60,564",11.47,30 Jun 2018,"126,217","55,236",10.46,31 Mar 2018,"127,872","52,820",10.01,31 Mar 2018,"523,897",-,-,"228,554","1,352,248","2,238","174,214",0,"579,587","212,919","987,599","14,697",0,"822,917",58.52,-,43.63,3.44,-
LKL INTERNATIONAL BERHAD,0.110,Ace,"2,742",06 Mar 2019,7:11 PM,31 Oct 2018,"9,481",133,0.03,31 Jul 2018,"7,769",33,0.01,30 Apr 2018,"7,479","-1,542",-0.35,31 Jan 2018,"10,246",838,0.21,30 Apr 2018,"29,716",-,-,"-1,098",0,"32,898",0,"15,310","14,311","6,426","5,926",0,0,"58,748",-2.59,-,-3.69,6.15,-
LFE CORPORATION BHD,0.105,Main,100,06 Mar 2019,7:11 PM,31 Dec 2018,848,"-1,024",-0.55,31 Oct 2018,804,-925,-0.50,31 Jul 2018,"1,472","-4,733",-2.56,30 Apr 2018,"2,301","-1,471",-0.79,31 Jul 2017,"13,379",330,"-1,456","-1,697",0,761,"39,070",0,174,"27,694",0,0,0,"44,323",-11.56,-3.86,-12.68,1.15,0.02
LEADER STEEL HOLDINGS BHD,0.270,Main,110,06 Mar 2019,7:11 PM,31 Dec 2018,"82,188",80,0.16,30 Sep 2018,"76,074",729,0.59,31 Mar 2018,"71,507","2,201",1.75,31 Dec 2017,"74,474","3,844",3.05,31 Dec 2017,"243,761",-,-,"7,769",58,"154,573",0,"56,359","6,422","108,564",0,0,0,"140,555",5.7,-,3.19,1.01,-
M3 TECHNOLOGIES(ASIA)BHD,0.050,Ace,"8,141",06 Mar 2019,7:11 PM,31 Dec 2018,"8,554","-6,277",-1.03,30 Sep 2018,"9,499","-1,348",-0.33,30 Jun 2018,"9,555",-906,-0.30,31 Mar 2018,"7,399","-4,178",-0.74,30 Jun 2017,"37,997",436,"-1,992","-6,969","4,319","5,508","2,009","4,828","29,044","11,526",340,8,0,"64,859",-4.41,-14.94,-18.34,5.68,0.01
LTKM BHD,1.260,Main,"1,045",06 Mar 2019,7:11 PM,31 Dec 2018,"54,223","9,752",7.50,31 Dec 2018,"54,223","9,752",7.50,30 Sep 2018,"46,716","7,598",5.84,30 Jun 2018,"39,424","-1,882",-1.45,31 Mar 2018,"175,032",-,-,"3,194",0,"97,899","27,424","19,925","30,885","42,283","62,343",0,0,"231,632",7.17,-,1.82,1.89,-
LUSTER INDUSTRIES BHD,0.080,Main,"35,452",06 Mar 2019,7:11 PM,31 Dec 2018,"37,213","5,727",0.29,30 Sep 2018,"51,748","3,369",0.17,30 Jun 2018,"44,737","1,991",0.10,31 Dec 2017,"36,533","1,220",0.06,31 Dec 2017,"141,156",-,-,"4,935","8,592","58,428",0,"24,459","19,217","29,627",0,0,0,"155,942",5.02,-,3.5,4.09,-
MAGNI-TECH INDUSTRIES BHD,4.610,Main,896,06 Mar 2019,7:11 PM,31 Oct 2018,"255,756","23,206",14.26,31 Jul 2018,"273,741","22,012",13.53,30 Apr 2018,"220,593","20,137",12.37,31 Jan 2018,"313,303","31,142",19.14,30 Apr 2018,"1,079,927",-,-,"91,367",0,"63,150","161,513","153,294","49,962","56,369",0,0,0,"464,689",11.07,-,8.46,5.36,-
LUXCHEM CORPORATION BHD,0.550,Main,798,06 Mar 2019,7:11 PM,31 Dec 2018,"206,246","8,745",1.02,30 Sep 2018,"212,277","9,792",1.15,30 Jun 2018,"198,911","9,518",1.15,31 Mar 2018,"196,653","9,594",1.14,31 Dec 2017,"806,709","60,311","57,323","40,743","36,145","47,349","1,782","79,865","109,092","153,102",0,414,0,"260,477",7.29,16.58,5.05,2.15,0.19
MAGNA PRIMA BHD,0.880,Main,45,06 Mar 2019,7:11 PM,31 Dec 2018,"-10,056","-66,286",-19.84,30 Sep 2018,"9,699","5,051",1.60,30 Jun 2018,"25,585","3,244",1.10,31 Mar 2018,"12,905","2,894",0.97,31 Dec 2017,"98,903",-,-,"10,681",0,896,0,"295,587","8,537","226,487","123,867",0,0,"598,548",31.02,-,10.8,1.55,-
MAGNUM BERHAD,2.400,Main,"31,308",06 Mar 2019,7:11 PM,31 Dec 2018,"724,405","72,826",5.08,30 Sep 2018,"667,109","-69,774",-4.96,30 Jun 2018,"600,388","48,625",3.38,31 Dec 2017,"675,086","53,332",3.71,31 Dec 2017,"272,414",-,-,"80,920",0,"35,293","31,209",0,0,"89,796",0,0,"37,868","686,891",42.01,-,29.7,5.04,-
MALAKOFF CORPORATION BERHAD,0.920,Main,"24,079",06 Mar 2019,7:11 PM,31 Dec 2018,"1,887,268","94,047",1.74,30 Sep 2018,"1,912,676","98,446",1.70,30 Jun 2018,"1,944,052","63,616",1.06,31 Dec 2017,"1,793,374","58,003",0.87,31 Dec 2017,"7,130,440","2,737,262","1,418,447","309,951","3,346,176","13,976,303","1,634,764","858,774","2,355,529","3,380,545","14,180,158","207,604",0,"6,916,661",22.75,4.75,4.35,2.4,0.53
LYSAGHT GALVANIZED STEEL BHD,2.690,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"17,865","2,092",5.03,30 Sep 2018,"17,701","2,054",4.94,30 Jun 2018,"14,685","1,816",4.37,31 Mar 2018,"17,660","3,339",8.03,31 Dec 2017,"90,810",-,-,"17,880",8,"37,193",130,"24,601","68,840","9,871",0,12,0,"141,513",25.15,-,19.69,11.63,-
MAH SING GROUP BHD,0.950,Main,"23,085",06 Mar 2019,7:11 PM,31 Dec 2018,"514,647","65,384",1.79,30 Sep 2018,"504,256","63,675",1.89,30 Jun 2018,"589,275","76,896",2.26,31 Mar 2018,"584,755","64,664",1.89,31 Dec 2017,"2,915,791",-,-,"361,895","5,776","155,872","5,583","2,768,505","294,605","1,705,402","638,036","9,051",0,"4,647,609",16.79,-,12.41,3,-
MARINE & GENERAL BERHAD,0.075,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"51,307",-588,0.02,30 Sep 2018,"43,846","-16,955",-1.59,30 Jun 2018,"40,422","-16,430",-1.54,31 Mar 2018,"34,446","-27,739",-2.58,31 Dec 2017,"195,834",-,-,"152,429",0,"856,736",0,"1,076","5,320","206,725","825,634",0,0,"98,946",-154.29,-,77.84,1.33,-
MALTON BHD,0.515,Main,"8,686",06 Mar 2019,7:11 PM,31 Dec 2018,"252,931","2,038",0.49,30 Sep 2018,"157,936","4,448",0.88,30 Jun 2018,"274,555",146,0.08,31 Dec 2017,"241,504","24,048",4.59,30 Jun 2018,-,-,-,"51,921",-,"15,230",-,-,-,-,-,-,-,-,-,-,-,-,-
MALPAC HOLDINGS BHD,0.850,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,0,"-3,688",-4.92,30 Sep 2018,0,"-1,799",-2.40,30 Jun 2018,0,"-1,463",-1.95,31 Dec 2017,0,"-1,319",-1.76,30 Jun 2018,0,-,-,"-3,411",17,116,"12,257",0,"88,420","41,578",0,362,0,"179,655",-,-,-,3.44,-
MASTER-PACK GROUP BERHAD,0.680,Main,"6,321",06 Mar 2019,7:11 PM,31 Dec 2018,"41,814","1,808",3.31,30 Sep 2018,"37,125","1,253",2.30,30 Jun 2018,"32,796","1,282",2.35,31 Mar 2018,"33,851","1,404",2.57,31 Dec 2017,"115,960","9,935","5,994","3,945",196,"39,478",841,"12,830","4,571","24,701","4,404",0,0,"75,517",5.4,5.34,3.4,2.15,0.17
MALAYSIA STEEL WORKS (KL)BHD,0.450,Main,"23,106",06 Mar 2019,7:11 PM,31 Dec 2018,"348,925","-24,868",-5.84,30 Sep 2018,"388,432","5,872",1.38,30 Jun 2018,"324,694","7,982",1.89,31 Mar 2018,"434,802","17,722",4.20,31 Dec 2017,"1,463,257",-,-,"75,458",0,"596,697","6,302","430,216","52,576","623,577","32,750",0,0,"648,023",6.22,-,5.16,1.15,-
MARCO HOLDINGS BHD,0.125,Main,700,06 Mar 2019,7:11 PM,31 Dec 2018,"39,245","3,482",0.33,30 Sep 2018,"38,247","3,609",0.34,30 Jun 2018,"30,966","3,472",0.33,31 Mar 2018,"41,874","3,548",0.34,31 Dec 2017,"154,686",-,-,"13,750","1,008","1,161",0,"32,763","101,458","13,287",0,0,0,"181,631",11.9,-,8.89,11.32,-
MAXWELL INT HOLDINGS BERHAD,0.010,Main,0,06 Mar 2019,7:11 PM,30 Jun 2018,0,"3,310",0.83,31 Mar 2018,0,"-4,182",-1.05,31 Dec 2017,0,"-131,939",-33.08,30 Sep 2017,0,"-2,027",-0.51,31 Dec 2016,"14,086","-2,207","-88,898","-86,707","20,451","28,905",0,0,"360,673","6,443",0,0,0,"410,300",-615.55,-18.79,-615.55,57.02,0
MAXIS BERHAD,5.340,Main,"13,246",06 Mar 2019,7:11 PM,31 Dec 2018,"2,445,000","266,000",3.40,30 Sep 2018,"2,264,000","513,000",6.60,30 Jun 2018,"2,246,000","478,000",6.10,31 Mar 2018,"2,237,000","523,000",6.70,31 Dec 2017,"8,696,438",-,-,"2,191,554","11,354,176","4,841,261",0,"4,494","602,127","3,932,684","7,439,176","170,341",0,"7,041,911",34.87,-,25.2,0.57,-
MATANG BERHAD,0.070,Ace,"10,577",06 Mar 2019,7:11 PM,31 Dec 2018,"2,549",598,0.03,30 Sep 2018,"2,209",582,0.03,30 Jun 2018,"2,479",578,0.03,31 Mar 2018,"2,947",997,0.06,30 Jun 2018,"12,641",-,-,"4,090",0,"137,521",152,75,"38,675","1,381",0,0,0,"188,416",46.51,-,32.36,29.02,-
MALAYAN BANKING BHD,9.540,Main,"69,424",06 Mar 2019,7:11 PM,31 Dec 2018,"12,233,912","2,450,800",21.05,30 Sep 2018,"12,061,550","2,010,718",17.91,31 Mar 2018,"11,515,335","1,899,488",17.26,31 Dec 2017,"11,785,637","2,251,084",19.93,31 Dec 2015,-,"9,886,365","9,246,119","6,835,939",-,"2,661,472",-,-,15.56,-,-,-,-,-,-,-,-,-,-
MALAYSIAN BULK CARRIERS BHD,0.620,Main,"4,582",06 Mar 2019,7:11 PM,31 Dec 2018,"69,044","406,428",40.64,30 Sep 2018,"58,179","23,045",2.30,30 Jun 2018,"57,488","-151,313",-15.13,31 Mar 2018,"54,263","-14,208",-1.43,31 Dec 2017,"272,582","-215,488","-115,928","-134,954",0,"471,671","527,725","7,344","72,233","176,439","323,946","63,476",0,"549,183",-40.14,-21.1,-49.51,1.18,0.34
MATRIX CONCEPTS HOLDINGS BHD,1.960,Main,"5,737",06 Mar 2019,7:11 PM,31 Dec 2018,"285,650","48,605",6.46,30 Sep 2018,"253,312","52,942",7.04,30 Jun 2018,"230,042","50,152",6.67,31 Dec 2017,"266,168","70,557",9.52,31 Mar 2018,"818,477",-,-,"213,280",0,"235,046",0,"380,110","280,428","468,369","180,425",0,0,"1,206,992",36.69,-,26.06,2.07,-
MUAR BAN LEE GROUP BERHAD,1.070,Main,"1,958",06 Mar 2019,7:11 PM,31 Dec 2018,"51,293","3,764",3.62,30 Sep 2018,"40,877","5,749",5.59,30 Jun 2018,"37,195","2,122",2.51,31 Mar 2018,"28,150","1,030",1.33,31 Dec 2017,"184,295",-,-,"9,512","3,456","41,425","4,657","30,770","11,276","34,569","11,927",0,0,"110,528",8.97,-,5.16,3.18,-
MBM RESOURCES BHD,2.620,Main,"5,336",06 Mar 2019,7:11 PM,31 Dec 2018,"498,977","68,489",15.37,30 Sep 2018,"472,475","42,968",9.75,30 Jun 2018,"493,316","40,496",8.84,31 Dec 2017,"443,770","-204,274",-49.05,31 Dec 2017,"1,721,617","110,074","-121,737","-138,715","1,104","273,087","1,235,171","149,123","201,128","311,895","103,987","2,866",0,"1,666,233",-6.81,-7.84,-8.06,1.65,0.14
MCLEAN TECHNOLOGIES BERHAD,0.090,Ace,200,06 Mar 2019,7:11 PM,31 Dec 2018,"16,399","-4,739",-1.75,30 Sep 2018,"18,232",-137,0.03,30 Jun 2018,"17,854",148,0.06,31 Mar 2018,"15,856","-1,220",-0.76,31 Dec 2017,"59,255",-,-,"-3,587",0,"28,188",0,"1,777","5,119","20,043",0,0,0,"43,555",-6.31,-,-6.05,1.81,-
MCT BERHAD,0.665,Main,30,06 Mar 2019,7:11 PM,31 Dec 2018,"182,225","36,574",2.51,30 Sep 2018,"125,792","20,295",1.39,30 Jun 2018,"184,630","30,690",2.11,31 Mar 2018,"126,314","30,783",2.11,30 Jun 2018,"459,033",-,-,"78,811",0,"128,046",0,"231,662","186,697","522,934","167,508",0,0,"863,302",24.57,-,17.17,1.85,-
MEDA INC. BHD,0.305,Main,"29,837",06 Mar 2019,7:11 PM,31 Dec 2018,"7,971","-13,532",-2.82,30 Sep 2018,608,"-2,917",-0.60,30 Jun 2018,"2,656","-3,441",-0.71,31 Mar 2018,"1,717","-3,330",-0.68,31 Dec 2017,"21,398","-13,180","-10,964","-8,825",0,"24,775",0,"46,513","1,745","92,123","26,121",0,0,"141,293",-17.29,-6.06,-41.24,1,0.18
MELATI EHSAN HOLDINGS BHD,0.475,Main,220,06 Mar 2019,7:11 PM,30 Nov 2018,"40,450",571,0.48,31 Aug 2018,"69,286",959,0.80,31 May 2018,"127,545",434,0.36,28 Feb 2018,"46,821",416,0.35,31 Aug 2017,"168,047","4,286","3,370","2,425",507,"5,289","2,213","77,662","37,768","107,720","1,614",0,0,"209,991",2.39,1.16,1.44,2.28,0.01
MEDIA PRIMA BHD,0.520,Main,"37,624",06 Mar 2019,7:11 PM,31 Dec 2018,"290,899","81,135",7.14,30 Sep 2018,"271,800","-30,846",-2.77,30 Jun 2018,"342,372","31,701",2.88,31 Mar 2018,"280,666","-22,999",-1.97,31 Dec 2017,"335,021",-,-,"-283,471",0,"141,362",363,0,0,"191,449",0,0,0,"356,434",-80.63,-,-84.61,1.52,-
MENANG CORPORATION (M) BHD,0.385,Main,510,06 Mar 2019,7:11 PM,31 Dec 2018,"10,505","1,742",-0.11,30 Sep 2018,"10,617","2,087",0.20,30 Jun 2018,"10,651","1,876",1.72,31 Mar 2018,"23,104","5,290",0.57,30 Jun 2018,"92,414",-,-,"13,299",0,147,241,"109,003","37,554","534,064","246,712",0,0,"385,059",77.84,-,14.39,1.34,-
MERCURY INDUSTRIES BHD,0.900,Main,352,06 Mar 2019,7:11 PM,31 Dec 2018,"36,126",17,0.57,30 Sep 2018,"25,562",942,1.53,30 Jun 2018,"21,401",333,0.50,31 Mar 2018,"21,772",530,0.76,31 Dec 2017,"91,113",-,-,"13,925","31,509","6,123",0,0,"2,329","58,611",171,0,0,"84,906",22.28,-,15.28,1.75,-
MESB BHD,0.320,Main,"2,392",06 Mar 2019,7:11 PM,31 Dec 2018,"45,947","2,343",2.86,30 Sep 2018,"28,444","-3,597",4.39,30 Jun 2018,"47,749","3,210",4.18,31 Mar 2018,"37,472","-2,983",-3.64,31 Mar 2018,"140,037",-,-,"-6,043","25,168","6,380",0,"36,399","26,597","40,358","4,527",0,0,"84,480",-2.73,-,-4.32,2.36,-
MERGE ENERGY BHD,1.300,Main,"12,169",06 Mar 2019,7:11 PM,31 Dec 2018,"14,466",-444,-0.70,30 Sep 2018,"14,585","-1,528",-2.21,30 Jun 2018,"9,084",-206,-0.69,31 Dec 2017,"6,809","-1,660",-2.56,31 Mar 2018,"24,611",-,-,"-9,973",856,"22,965",0,281,"9,301","23,665","1,171",0,0,"52,755",-40.64,-,-40.52,1.63,-
MCE HOLDINGS BERHAD,0.630,Main,10,06 Mar 2019,7:11 PM,31 Oct 2018,"16,704",-986,-2.22,31 Jul 2018,"14,059",-994,-2.24,30 Apr 2018,"13,864","-1,518",-3.42,31 Jan 2018,"16,965",-195,-0.44,31 Jul 2018,"62,539",-,-,"-1,907",0,"62,920",0,"12,297","2,417","12,556",0,0,0,"89,642",-2.89,-,-3.05,2.94,-
MEGA FIRST CORPORATION BHD,3.800,Main,"1,056",06 Mar 2019,7:11 PM,31 Dec 2018,"220,928","36,179",7.92,31 Dec 2018,"220,928","36,179",7.92,30 Sep 2018,"219,062","43,223",9.78,30 Jun 2018,"218,941","43,187",7.28,31 Dec 2017,"1,164,338",-,-,"138,336","970,536","262,151","57,244","42,280","138,750","299,971","112,741","1,061",0,"1,369,704",18.87,-,11.88,1.14,-
MENTIGA CORPORATION BHD,0.510,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"5,963","3,126",4.47,30 Sep 2018,"2,384","-1,892",-2.70,30 Jun 2018,"6,413","2,902",4.15,31 Mar 2018,"1,129","-1,741",-2.49,31 Dec 2017,"13,214","3,483","1,412","1,537",0,"173,464",30,188,"3,420","14,732","18,416",0,0,"133,047",10.69,1.16,11.63,0.66,0.11
MELEWAR INDUSTRIAL GROUP BHD,0.135,Main,"9,056",06 Mar 2019,7:11 PM,31 Dec 2018,"188,851","-5,213",-1.27,30 Sep 2018,"196,575",-926,-0.48,30 Jun 2018,"215,513","-4,384",-2.11,31 Mar 2018,"211,082","2,010",0.39,30 Jun 2018,"816,093",-,-,-668,0,"382,900",0,"205,363","53,427","343,204","27,687",0,0,"358,567",2.68,-,-0.08,1.15,-
MHC PLANTATIONS BHD,0.640,Main,251,06 Mar 2019,7:11 PM,31 Dec 2018,"81,067","-5,907",-1.45,30 Sep 2018,"71,966",990,0.94,30 Jun 2018,"90,766","3,921",1.16,31 Mar 2018,"99,740","7,656",1.53,31 Dec 2017,"390,284","64,220","48,379","17,538","122,022","901,930",560,"31,386","27,511","121,167","65,479",0,0,"972,449",14.59,1.83,4.49,0.91,0.11
MSIAN GENOMICS RES CENTRE BHD,0.250,Ace,99,06 Mar 2019,7:11 PM,31 Dec 2018,"6,929",-991,-0.96,30 Sep 2018,"7,170",-546,-0.53,30 Jun 2018,"6,307","-1,455",-1.40,31 Mar 2018,"6,559","-1,457",-1.41,30 Jun 2018,"26,159",-,-,"-4,535","9,057","13,232",0,"2,160","7,376","7,170","6,214",0,0,"19,770",-14.17,-,-17.34,2.59,-
MALAYSIA MARINE AND HEAVY ENG,0.790,Main,"8,439",06 Mar 2019,7:11 PM,31 Dec 2018,"273,238","-25,830",-1.60,31 Dec 2018,"273,238","-25,830",-1.60,30 Sep 2018,"289,802","-22,851",-1.42,30 Jun 2018,"223,039","-49,806",-3.09,31 Dec 2017,"956,415","96,799","9,761","34,233","216,353","1,524,860","4,927","2,399","674,968","807,092",0,0,0,"2,577,624",1.15,1.34,3.58,1.91,0
MGB BERHAD,0.800,Main,897,06 Mar 2019,7:11 PM,31 Dec 2018,"177,450","2,043",0.70,30 Sep 2018,"204,493","8,026",1.61,30 Jun 2018,"200,258","10,006",2.02,31 Mar 2018,"169,070","10,186",2.06,31 Dec 2017,"692,644",-,-,"34,127","258,021","50,752",0,"54,138","24,026","306,407","79,426",0,0,"410,481",7.7,-,4.93,1.46,-
MIKRO MSC BERHAD,0.255,Ace,"1,755",06 Mar 2019,7:11 PM,31 Dec 2018,"12,836","1,957",0.45,30 Sep 2018,"9,795",562,0.12,30 Jun 2018,"11,870",623,0.12,31 Mar 2018,"9,712",840,0.20,30 Jun 2018,"47,793",-,-,"5,977","10,410","17,789",0,"11,556","18,411","4,945","8,830",0,0,"59,762",20.47,-,12.51,9.26,-
