stock name,price,board,volume,date,time,Period End 1,Revenue 1,P&L 1,EPS 1,Period End 2,Revenue 2,P&L 2,EPS 2,Period End 3,Revenue 3,P&L 3,EPS 3,Period End 4,Revenue 4,P&L 4,EPS 4,Financial Date,Sales,Ebitda,Ebit,Net Profit,Intangibles,Fixed Asset,Long Term Investment,Inventories,Cash,Current Liabilites,Long_debt,Provisions,Minorities,Total Shareholder Equity,Operating Margin,Return on Equity Capital,Net Profit Margin,Current Ratio,Debt to Capital at book
AMMB HOLDINGS BHD,4.500,Main,"20,975",06 Mar 2019,7:11 PM,31 Dec 2018,"2,300,616","365,588",11.63,30 Sep 2018,"2,313,966","378,456",11.57,30 Jun 2018,"2,171,291","383,256",11.56,31 Mar 2018,"2,211,339","302,072",8.43,31 Mar 2016,-,"1,870,730","1,721,863","1,302,206",-,"292,787",-,-,6.85,-,-,-,-,-,-,-,-,-,-
ASIA MEDIA GROUP BERHAD,0.155,Main,630,06 Mar 2019,7:11 PM,31 Dec 2018,"2,440",-973,-0.41,30 Sep 2018,"3,390","-1,013",-0.42,30 Jun 2018,"3,577",-69,-0.03,31 Dec 2017,"3,700","1,575",0.66,31 Dec 2017,"15,384",-,-,"2,281",126,"20,280",0,0,"1,953","3,058",0,0,0,"25,000",14.79,-,14.83,2.5,-
ALCOM GROUP BERHAD,0.550,Main,802,06 Mar 2019,7:11 PM,31 Dec 2018,"100,761","3,426",2.55,30 Sep 2018,"83,050",-533,-0.40,30 Jun 2018,"100,852",356,0.27,31 Mar 2018,"101,040",188,0.14,31 Mar 2017,"317,132","24,738","14,561","11,610","2,158","62,513",0,"57,887","57,041","37,077",0,"5,144",0,"176,251",4.98,6.81,3.66,4.28,0
AMCORP PROPERTIES BERHAD,0.525,Main,257,06 Mar 2019,7:11 PM,31 Dec 2018,"36,314",447,0.02,30 Sep 2018,"28,767","11,287",0.96,30 Jun 2018,"32,638","5,191",0.67,31 Mar 2018,"27,837","35,777",5.86,31 Mar 2018,"134,085",-,-,"142,320",0,"270,902","669,023","205,814","430,278","342,519","394,574",0,0,"1,065,129",150.83,-,106.14,1.97,-
AMVERTON BERHAD,1.020,Main,"1,027",06 Mar 2019,7:11 PM,31 Dec 2018,"21,305","52,547",14.33,30 Sep 2018,"35,928","15,118",4.22,30 Jun 2018,"31,990","4,341",1.14,31 Mar 2018,"29,936","4,071",0.99,31 Dec 2017,"160,709","37,488","31,127","24,190","19,085","156,661","1,521","402,671","71,088","155,548",0,0,0,"665,798",20.52,3.7,15.05,3.42,0
AMTEK HOLDINGS BHD,0.275,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,56,-278,-0.56,30 Sep 2018,57,-257,-0.51,30 Jun 2018,"5,658",-825,-1.65,31 Dec 2017,"4,670","-1,712",-3.42,30 Jun 2018,"15,960",-,-,"-5,243",0,83,0,0,"5,228","4,827",200,0,0,"10,435",-30.19,-,-32.85,1.84,-
AMFIRST REITS,0.530,Main,316,06 Mar 2019,7:11 PM,31 Dec 2018,"29,639","6,673",0.98,30 Sep 2018,"29,084","7,399",1.08,30 Jun 2018,"28,595","6,968",1.01,31 Mar 2018,"28,838","-11,769",-1.71,31 Mar 2018,"114,099",-,-,"11,330",0,0,0,0,"3,946","167,527","633,042",0,0,"849,364",42.59,-,9.93,0.07,-
ANALABS RESOURCES BHD,1.200,Main,0,06 Mar 2019,7:11 PM,31 Oct 2018,"40,166","2,722",2.26,31 Jul 2018,"37,768","2,593",4.47,30 Apr 2018,"27,603","2,204",4.50,31 Jan 2018,"38,719","2,990",4.44,30 Apr 2018,"137,505",-,-,"9,489","9,943","144,114","50,772","17,916","50,323","38,727","6,399",0,0,"249,694",9.15,-,6.9,2.79,-
AMTEL HOLDINGS BHD,0.665,Main,0,06 Mar 2019,7:11 PM,30 Nov 2018,"16,117","1,476",2.99,31 Aug 2018,"12,031",325,0.66,31 May 2018,"11,964",-640,-1.30,28 Feb 2018,"10,814",-125,-0.19,30 Nov 2017,"33,427","-1,824","-3,592","-2,908",581,"2,037","1,321","10,829","12,370","17,579",0,0,0,"42,950",-9.44,-6.55,-8.7,3.24,0.02
ANCOM LOGISTICS BERHAD,0.095,Ace,"9,044",06 Mar 2019,7:11 PM,30 Nov 2018,"7,479",78,-0.04,31 Aug 2018,"6,932",447,0.03,31 May 2018,"7,105",-442,-0.14,28 Feb 2018,"7,130",457,0.03,31 May 2018,"28,980",-,-,-792,0,"27,040","1,802",0,"7,705","7,331","1,320",0,0,"32,741",5.3,-,-2.73,2.53,-
ANCOM BHD,0.505,Main,"1,064",06 Mar 2019,7:11 PM,30 Nov 2018,"545,482",872,0.84,31 Aug 2018,"527,587","8,464",3.26,31 May 2018,"580,075","6,815",3.95,28 Feb 2018,"457,468","10,509",3.04,31 May 2018,"1,954,809",-,-,"17,581","98,766","286,399","7,268","129,581","139,446","659,997","51,403","4,672",0,"485,645",3.38,-,0.9,1.21,-
APB RESOURCES BHD,0.790,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"14,923",-67,-0.06,30 Sep 2018,"19,531","-12,485",-11.26,30 Jun 2018,"21,172","2,165",1.95,31 Dec 2017,"13,939","-3,635",-3.28,30 Sep 2017,"59,353","7,619","3,630","3,751","13,458","68,280",35,573,"59,375","6,289",0,0,0,"179,085",8.4,2.1,6.32,16.94,0
AMWAY (M) HOLDINGS BHD,6.250,Main,64,06 Mar 2019,7:11 PM,31 Dec 2018,"248,964","21,925",13.34,30 Sep 2018,"260,208","17,148",10.43,30 Jun 2018,"227,779","7,462",4.54,31 Mar 2018,"235,321","7,975",4.85,31 Dec 2017,"984,214","71,241","64,910","52,644","4,782","60,718",0,"126,159","163,402","195,611",0,0,0,"214,073",7.16,24.78,5.35,1.72,0.01
